,Date,Chinese Gas Imports
0,1973-01-01,4375
1,1973-02-01,4421
2,1973-03-01,1463
3,1973-04-01,5854
4,1973-05-01,5884
5,1973-06-01,1462
6,1973-07-01,2929
7,1973-08-01,5850
8,1973-09-01,4385
9,1973-10-01,2958
10,1973-11-01,2925
11,1973-12-01,5842
12,1974-01-01,4417
13,1974-02-01,4415
14,1974-03-01,4456
15,1974-04-01,4432
16,1974-05-01,2943
17,1974-06-01,4879
18,1974-07-01,5543
19,1974-08-01,2943
20,1974-09-01,4421
21,1974-10-01,2978
22,1974-11-01,4419
23,1974-12-01,4412
24,1975-01-01,2935
25,1975-02-01,5879
26,1975-03-01,4440
27,1975-04-01,4411
28,1975-05-01,4449
29,1975-06-01,1465
30,1975-07-01,5897
31,1975-08-01,4415
32,1975-09-01,4421
33,1975-10-01,4406
34,1975-11-01,4411
35,1975-12-01,5874
36,1976-01-01,4410
37,1976-02-01,4417
38,1976-03-01,4413
39,1976-04-01,4399
40,1976-05-01,2967
41,1976-06-01,2946
42,1976-07-01,4414
43,1976-08-01,4423
44,1976-09-01,5452
45,1976-10-01,3379
46,1976-11-01,4400
47,1976-12-01,4160
48,1977-01-01,4124
49,1977-02-01,4116
50,1977-03-01,3875
51,1977-04-01,2914
52,1977-05-01,2926
53,1977-06-01,4396
54,1977-07-01,6824
55,1977-08-01,4921
56,1977-09-01,4390
57,1977-10-01,4391
58,1977-11-01,4388
59,1977-12-01,4391
60,1978-01-01,4386
61,1978-02-01,4389
62,1978-03-01,4422
63,1978-04-01,2944
64,1978-05-01,4388
65,1978-06-01,4393
66,1978-07-01,4407
67,1978-08-01,4401
68,1978-09-01,5876
69,1978-10-01,2968
70,1978-11-01,2927
71,1978-12-01,2933
72,1979-01-01,5859
73,1979-02-01,4387
74,1979-03-01,4391
75,1979-04-01,4394
76,1979-05-01,4398
77,1979-06-01,4382
78,1979-07-01,5858
79,1979-08-01,4404
80,1979-09-01,4417
81,1979-10-01,2933
82,1979-11-01,2931
83,1979-12-01,2934
84,1980-01-01,5857
85,1980-02-01,4415
86,1980-03-01,4410
87,1980-04-01,2960
88,1980-05-01,2929
89,1980-06-01,2962
90,1980-07-01,2396
91,1980-08-01,2411
92,1980-09-01,4857
93,1980-10-01,4265
94,1980-11-01,3016
95,1980-12-01,4255
96,1981-01-01,4822
97,1981-02-01,4210
98,1981-03-01,4849
99,1981-04-01,4277
100,1981-05-01,3296
101,1981-06-01,4755
102,1981-07-01,5134
103,1981-08-01,4757
104,1981-09-01,5574
105,1981-10-01,4856
106,1981-11-01,5041
107,1981-12-01,4358
108,1982-01-01,2932
109,1982-02-01,4393
110,1982-03-01,4440
111,1982-04-01,1466
112,1982-05-01,2938
113,1982-06-01,5865
114,1982-07-01,4399
115,1982-08-01,5854
116,1982-09-01,4397
117,1982-10-01,4389
118,1982-11-01,4398
119,1982-12-01,4387
120,1983-01-01,4397
121,1983-02-01,4395
122,1983-03-01,4395
123,1983-04-01,4388
124,1983-05-01,4439
125,1983-06-01,2942
126,1983-07-01,4402
127,1983-08-01,5878
128,1983-09-01,4407
129,1983-10-01,4401
130,1983-11-01,4406
131,1983-12-01,4405
132,1984-01-01,4402
133,1984-02-01,4400
134,1984-03-01,5858
135,1984-04-01,4401
136,1984-05-01,4432
137,1984-06-01,2937
138,1984-07-01,4398
139,1984-08-01,4405
140,1984-09-01,4409
141,1984-10-01,4404
142,1984-11-01,4396
143,1984-12-01,4398
144,1985-01-01,4402
145,1985-02-01,4392
