,Date,Crude
0,1982-08-20,338764
1,1982-08-27,336138
2,1982-09-24,335586
3,1982-10-01,334786
4,1982-10-08,335260
5,1982-10-15,326979
6,1982-10-22,334370
7,1982-10-29,333067
8,1982-11-05,331057
9,1982-11-12,323448
10,1982-11-19,331264
11,1982-11-26,325639
12,1982-12-03,332447
13,1982-12-10,337943
14,1982-12-17,338912
15,1982-12-24,335061
16,1982-12-31,330150
17,1983-01-07,326701
18,1983-01-14,339028
19,1983-01-21,334178
20,1983-01-28,339617
21,1983-02-04,332527
22,1983-02-11,338719
23,1983-02-18,342040
24,1983-02-25,349452
25,1983-03-04,339216
26,1983-03-11,341753
27,1983-03-18,335901
28,1983-03-25,337155
29,1983-04-01,331215
30,1983-04-08,335263
31,1983-04-15,340539
32,1983-04-29,342707
33,1983-05-13,342703
34,1983-05-20,345545
35,1983-06-03,334607
36,1983-06-10,333407
37,1983-06-17,332713
38,1983-06-24,331611
39,1983-07-01,333387
40,1983-07-08,326776
41,1983-07-15,324265
42,1983-07-22,323643
43,1983-07-29,326267
44,1983-08-05,322642
45,1983-08-12,314861
46,1983-08-19,320879
47,1983-08-26,325015
48,1983-09-02,328895
49,1983-09-09,326370
50,1983-09-16,328092
51,1983-09-23,328203
52,1983-09-30,329028
53,1983-10-07,331723
54,1983-10-14,334292
55,1983-10-21,331681
56,1983-10-28,324210
57,1983-11-04,335837
58,1983-11-11,339341
59,1983-11-18,334859
60,1983-11-25,330704
61,1983-12-02,326264
62,1983-12-09,332192
63,1983-12-16,330911
64,1983-12-23,326469
65,1983-12-30,327028
66,1984-01-06,328070
67,1984-01-13,331804
68,1984-01-20,327811
69,1984-01-27,324301
70,1984-02-03,320842
71,1984-02-10,320037
72,1984-02-17,322097
73,1984-02-24,317999
74,1984-03-02,317746
75,1984-03-09,313132
76,1984-03-16,312445
77,1984-03-23,309072
78,1984-03-30,310506
79,1984-04-06,320689
80,1984-04-13,324087
81,1984-04-20,323505
82,1984-04-27,319724
83,1984-05-04,326633
84,1984-05-11,332296
85,1984-05-18,340510
86,1984-05-25,332465
87,1984-06-01,339659
88,1984-06-08,342189
89,1984-06-15,338234
90,1984-06-22,331714
91,1984-06-29,335999
92,1984-07-06,330378
93,1984-07-13,333149
94,1984-07-20,339830
95,1984-07-27,331607
96,1984-08-03,332398
97,1984-08-10,333554
98,1984-08-17,323344
99,1984-08-24,326092
100,1984-08-31,321597
101,1984-09-07,318672
102,1984-09-14,318007
103,1984-09-21,306957
104,1984-09-28,308426
105,1984-10-05,311211
106,1984-10-12,318610
107,1984-10-19,315273
108,1984-10-26,320900
109,1984-11-02,314922
110,1984-11-09,325115
111,1984-11-16,334201
112,1984-11-23,332639
113,1984-11-30,325608
114,1984-12-07,322292
115,1984-12-14,331783
116,1984-12-21,320537
117,1984-12-28,322281
118,1985-01-04,319923
119,1985-01-11,324107
120,1985-01-18,326508
121,1985-01-25,317918
122,1985-02-01,309460
123,1985-02-08,305989
