Date,Anadarko_DUC,Appalachia_DUC,Bakken_DUC,Eagle Ford_DUC,Haynesville_DUC,Niobrara_DUC,Permian_DUC,Total_DUC
2013-12-01,375,1237,570,993,130,456,659,4420
2014-01-01,382,1269,605,992,124,475,650,4497
2014-02-01,380,1306,657,1055,136,521,714,4769
2014-03-01,344,1249,663,1009,133,505,699,4602
2014-04-01,338,1277,673,1075,123,505,724,4715
2014-05-01,314,1256,691,1093,117,536,749,4756
2014-06-01,326,1244,702,1107,113,543,801,4836
2014-07-01,335,1239,709,1143,98,560,813,4897
2014-08-01,324,1230,728,1139,100,582,890,4993
2014-09-01,326,1205,752,1191,98,586,966,5124
2014-10-01,349,1193,696,1157,121,601,989,5106
2014-11-01,379,1158,705,1050,122,596,984,4994
2014-12-01,408,1158,737,995,133,616,1041,5088
2015-01-01,436,1180,743,1043,120,642,1140,5304
2015-02-01,495,1246,824,1256,126,727,1244,5918
2015-03-01,517,1277,838,1321,136,714,1196,5999
2015-04-01,537,1270,855,1340,128,709,1212,6051
2015-05-01,560,1249,842,1400,128,725,1145,6049
2015-06-01,578,1238,818,1428,136,733,1093,6024
2015-07-01,594,1246,797,1428,145,786,1027,6023
2015-08-01,589,1226,808,1382,154,815,1041,6015
2015-09-01,598,1194,816,1348,161,842,1076,6035
2015-10-01,581,1180,851,1375,159,831,1121,6098
2015-11-01,571,1190,863,1384,161,854,1167,6190
2015-12-01,599,1179,884,1378,161,872,1192,6265
2016-01-01,618,1190,875,1389,173,878,1195,6318
2016-02-01,625,1181,896,1374,167,875,1167,6285
2016-03-01,626,1177,919,1349,161,878,1169,6279
2016-04-01,621,1160,924,1296,151,845,1137,6134
2016-05-01,641,1139,912,1216,151,816,1117,5992
2016-06-01,638,1124,901,1175,141,793,1086,5858
2016-07-01,622,1083,891,1136,140,769,1089,5730
2016-08-01,622,1056,862,1112,129,728,1074,5583
2016-09-01,598,1026,845,1080,132,698,1088,5467
2016-10-01,565,977,820,1027,123,703,1130,5345
2016-11-01,541,949,796,992,125,694,1163,5260
2016-12-01,552,919,800,1005,115,695,1204,5290
2017-01-01,606,909,811,998,119,707,1297,5447
2017-02-01,594,898,804,1005,127,707,1329,5464
2017-03-01,632,874,812,1004,136,724,1402,5584
2017-04-01,675,848,787,1008,129,763,1455,5665
2017-05-01,686,834,800,1020,145,765,1540,5790
2017-06-01,714,796,772,982,146,752,1608,5770
2017-07-01,750,809,765,998,138,766,1709,5935
2017-08-01,772,809,755,1021,135,726,1831,6049
2017-09-01,786,804,757,1027,136,704,1908,6122
2017-10-01,815,799,752,1023,133,725,1967,6214
2017-11-01,780,782,760,995,128,724,1943,6112
2017-12-01,766,787,773,1001,132,715,2034,6208
2018-01-01,784,816,808,1022,146,755,2118,6449
2018-02-01,818,826,808,997,154,749,2162,6514
2018-03-01,813,790,814,978,162,660,2147,6364
2018-04-01,823,788,814,1005,155,599,2194,6378
2018-05-01,833,753,809,996,174,561,2259,6385
2018-06-01,843,726,800,1045,174,545,2315,6448
2018-07-01,898,702,780,1082,181,534,2401,6578
2018-08-01,920,670,751,1053,188,529,2456,6567
2018-09-01,961,654,738,1054,194,541,2556,6698
2018-10-01,1001,656,741,1081,194,562,2712,6947
2018-11-01,1057,677,753,1112,201,579,2816,7195
2018-12-01,1114,706,792,1164,207,619,2937,7539
2019-01-01,1158,724,842,1214,218,689,3046,7891
2019-02-01,1181,729,895,1268,219,694,3137,8123
2019-03-01,1149,752,897,1263,230,707,3215,8213
2019-04-01,1134,748,904,1289,235,695,3341,8346
2019-05-01,1156,768,905,1295,251,670,3398,8443
2019-06-01,1163,737,880,1322,269,677,3472,8520
2019-07-01,1160,730,879,1316,279,694,3525,8583
2019-08-01,1137,694,857,1286,284,664,3527,8449
2019-09-01,1096,708,869,1246,291,619,3513,8342
2019-10-01,1039,680,873,1226,297,601,3440,8156
2019-11-01,986,664,875,1179,295,537,3421,7957
2019-12-01,935,662,884,1178,303,508,3417,7887
2020-01-01,890,653,890,1202,315,493,3428,7871
2020-02-01,835,629,887,1208,301,485,3450,7795
2020-03-01,788,621,876,1241,303,488,3470,7787
2020-04-01,760,619,890,1257,307,483,3493,7809
2020-05-01,744,602,893,1231,315,480,3538,7803
2020-06-01,737,597,898,1212,317,488,3586,7835
2020-07-01,731,592,891,1199,319,483,3626,7841
2020-08-01,706,582,877,1172,320,483,3604,7744
2020-09-01,683,571,864,1152,321,473,3580,7644
2020-10-01,661,561,851,1139,320,461,3565,7558
