,Date,Gas Storage
0,1990-01-05,210982
1,1990-01-12,215395
2,1990-01-19,219221
3,1990-01-26,229695
4,1990-02-02,234249
5,1990-02-09,242038
6,1990-02-16,243212
7,1990-02-23,249028
8,1990-03-02,251074
9,1990-03-09,247348
10,1990-03-16,245224
11,1990-03-23,236805
12,1990-03-30,230975
13,1990-04-06,227448
14,1990-04-13,226077
15,1990-04-20,224206
16,1990-04-27,223250
17,1990-05-04,222618
18,1990-05-11,217528
19,1990-05-18,217047
20,1990-05-25,218532
21,1990-06-01,222014
22,1990-06-08,219308
23,1990-06-15,220061
24,1990-06-22,218970
25,1990-06-29,218597
26,1990-07-06,217055
27,1990-07-13,218063
28,1990-07-20,218705
29,1990-07-27,217799
30,1990-08-03,220195
31,1990-08-10,213725
32,1990-08-17,216819
33,1990-08-24,211198
34,1990-08-31,210922
35,1990-09-07,212665
36,1990-09-14,219164
37,1990-09-21,222160
38,1990-09-28,222735
39,1990-10-05,225934
40,1990-10-12,225997
41,1990-10-19,221043
42,1990-10-26,222384
43,1990-11-02,222223
44,1990-11-09,219499
45,1990-11-16,217040
46,1990-11-23,217639
47,1990-11-30,218889
48,1990-12-07,220010
49,1990-12-14,224219
50,1990-12-21,222043
51,1990-12-28,221695
52,1991-01-04,221194
53,1991-01-11,217923
54,1991-01-18,216098
55,1991-01-25,219581
56,1991-02-01,222223
57,1991-02-08,224079
58,1991-02-15,226459
59,1991-02-22,226026
60,1991-03-01,221438
61,1991-03-08,218986
62,1991-03-15,215670
63,1991-03-22,211379
64,1991-03-29,212087
65,1991-04-05,207908
66,1991-04-12,205510
67,1991-04-19,205046
68,1991-04-26,205660
69,1991-05-03,207496
70,1991-05-10,208673
71,1991-05-17,211690
72,1991-05-24,213387
73,1991-05-31,215678
74,1991-06-07,217713
75,1991-06-14,220528
76,1991-06-21,219835
77,1991-06-28,218757
78,1991-07-05,215024
79,1991-07-12,213411
80,1991-07-19,213887
81,1991-07-26,212122
82,1991-08-02,210814
83,1991-08-09,208356
84,1991-08-16,207689
85,1991-08-23,210098
86,1991-08-30,211068
87,1991-09-06,214680
88,1991-09-13,215242
89,1991-09-20,214984
