,Date,Italian Gas Imports
0,2016-11-01,3328
1,2017-06-01,3120
2,2017-08-01,3372
3,2018-01-01,0
4,2018-02-01,0
5,2018-03-01,0
6,2018-04-01,0
7,2018-05-01,0
8,2018-06-01,0
9,2018-07-01,0
10,2018-08-01,0
11,2018-09-01,6468
12,2018-10-01,4785
13,2018-11-01,0
14,2018-12-01,6137
15,2019-01-01,10502
16,2019-02-01,3454
17,2019-03-01,6684
18,2019-04-01,0
19,2019-05-01,6560
20,2019-06-01,3072
21,2019-07-01,9963
22,2019-08-01,6082
23,2019-09-01,3230
24,2019-10-01,0
25,2019-11-01,6345
26,2019-12-01,12764
27,2020-01-01,6308
28,2020-02-01,16616
29,2020-03-01,9895
30,2020-04-01,3135
31,2020-05-01,6452
32,2020-06-01,12998
33,2020-07-01,3232
