,Date,Japanese Gas Imports
0,2016-01-01,0
1,2016-02-01,0
2,2016-03-01,0
3,2016-04-01,0
4,2016-05-01,0
5,2016-06-01,0
6,2016-07-01,0
7,2016-08-01,0
8,2016-09-01,0
9,2016-10-01,0
10,2016-11-01,0
11,2016-12-01,10166
12,2017-01-01,0
13,2017-02-01,0
14,2017-03-01,7042
15,2017-04-01,3295
16,2017-05-01,6818
17,2017-06-01,7431
18,2017-07-01,14238
19,2017-08-01,10320
20,2017-09-01,17514
21,2017-10-01,21577
22,2017-11-01,21141
23,2017-12-01,20810
24,2018-01-01,21286
25,2018-02-01,28322
26,2018-03-01,11079
27,2018-04-01,17996
28,2018-05-01,17735
29,2018-06-01,13994
30,2018-07-01,14040
31,2018-08-01,17467
32,2018-09-01,24179
33,2018-10-01,34923
34,2018-11-01,17635
35,2018-12-01,33567
36,2019-01-01,16981
37,2019-02-01,17750
38,2019-03-01,18013
39,2019-04-01,13000
40,2019-05-01,18069
41,2019-06-01,20402
42,2019-07-01,32663
43,2019-08-01,16995
44,2019-09-01,10818
45,2019-10-01,42233
46,2019-11-01,24962
47,2019-12-01,38139
48,2020-01-01,44625
49,2020-02-01,11071
50,2020-03-01,28095
51,2020-04-01,24258
52,2020-05-01,20921
53,2020-06-01,28171
54,2020-07-01,10492
