,Date,Crude Price
0,1990-01-01,22.863
1,1990-02-01,22.113
2,1990-03-01,20.388
3,1990-04-01,18.426
4,1990-05-01,18.2
5,1990-06-01,16.695
6,1990-07-01,18.454
7,1990-08-01,27.307
8,1990-09-01,33.508
9,1990-10-01,36.04
10,1990-11-01,32.332
11,1990-12-01,27.281
12,1991-01-01,25.234
13,1991-02-01,20.478
14,1991-03-01,19.902
15,1991-04-01,20.83
16,1991-05-01,21.232
17,1991-06-01,20.189
18,1991-07-01,21.403
19,1991-08-01,21.694
20,1991-09-01,21.887
21,1991-10-01,23.231
22,1991-11-01,22.461
23,1991-12-01,19.498
24,1992-01-01,18.785
25,1992-02-01,19.013
26,1992-03-01,18.922
27,1992-04-01,20.23
28,1992-05-01,20.976
29,1992-06-01,22.385
30,1992-07-01,21.775
31,1992-08-01,21.339
32,1992-09-01,21.881
33,1992-10-01,21.686
34,1992-11-01,20.339
35,1992-12-01,19.414
36,1993-01-01,19.032
37,1993-02-01,20.086
38,1993-03-01,20.322
39,1993-04-01,20.253
40,1993-05-01,19.95
41,1993-06-01,19.094
42,1993-07-01,17.89
43,1993-08-01,18.01
44,1993-09-01,17.504
45,1993-10-01,18.153
46,1993-11-01,16.609
47,1993-12-01,14.515
48,1994-01-01,15.027
49,1994-02-01,14.781
50,1994-03-01,14.681
51,1994-04-01,16.42
52,1994-05-01,17.889
53,1994-06-01,19.06
54,1994-07-01,19.655
55,1994-08-01,18.383
56,1994-09-01,17.446
57,1994-10-01,17.716
58,1994-11-01,18.07
59,1994-12-01,17.16
60,1995-01-01,18.04
61,1995-02-01,18.57
62,1995-03-01,18.539
63,1995-04-01,19.896
64,1995-05-01,19.742
65,1995-06-01,18.446
66,1995-07-01,17.326
67,1995-08-01,18.021
68,1995-09-01,18.226
69,1995-10-01,17.433
70,1995-11-01,17.993
71,1995-12-01,19.027
72,1996-01-01,18.855
73,1996-02-01,19.094
74,1996-03-01,21.332
75,1996-04-01,23.497
76,1996-05-01,21.165
77,1996-06-01,20.424
78,1996-07-01,21.302
79,1996-08-01,21.903
80,1996-09-01,23.972
81,1996-10-01,24.879
82,1996-11-01,23.705
83,1996-12-01,25.229
84,1997-01-01,25.132
85,1997-02-01,22.176
86,1997-03-01,20.965
87,1997-04-01,19.695
88,1997-05-01,20.819
89,1997-06-01,19.26
90,1997-07-01,19.664
91,1997-08-01,19.953
92,1997-09-01,19.803
93,1997-10-01,21.325
94,1997-11-01,20.194
95,1997-12-01,18.333
96,1998-01-01,16.724
97,1998-02-01,16.06
98,1998-03-01,15.115
99,1998-04-01,15.354
100,1998-05-01,14.914
101,1998-06-01,13.722
102,1998-07-01,14.173
103,1998-08-01,13.472
104,1998-09-01,15.031
105,1998-10-01,14.461
106,1998-11-01,13.002
107,1998-12-01,11.347
108,1999-01-01,12.515
109,1999-02-01,12.014
110,1999-03-01,14.677
111,1999-04-01,17.312
112,1999-05-01,17.719
113,1999-06-01,17.923
114,1999-07-01,20.103
115,1999-08-01,21.279
116,1999-09-01,23.797
117,1999-10-01,22.691
118,1999-11-01,25.002
119,1999-12-01,26.102
120,2000-01-01,27.259
121,2000-02-01,29.366
122,2000-03-01,29.842
123,2000-04-01,25.722
124,2000-05-01,28.788
125,2000-06-01,31.822
126,2000-07-01,29.697
127,2000-08-01,31.264
128,2000-09-01,33.884
129,2000-10-01,33.109
130,2000-11-01,34.417
131,2000-12-01,28.437
132,2001-01-01,29.586
133,2001-02-01,29.609
134,2001-03-01,27.245
135,2001-04-01,27.49
136,2001-05-01,28.629
137,2001-06-01,27.599
