"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Anadarko","","","","Appalachia","","",""," Bakken","","","","  Eagle Ford","","","","Haynesville","","","","Niobrara","","","","Permian","","","","DPR Regions","",""
" ","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC","","Drilled","Completed","DUC"
"Dec-13","--","--","  375 ","","--","--","  1,238 ","","--","--","  570 ","","--","--","  993 ","","--","--","  130 ","","--","--","  456 ","","--","--","  659 ","","--","--","  4,421 "
"Jan-14","  222 ","  215 ","  382 ","","  140 ","  108 ","  1,270 ","","  178 ","  143 ","  605 ","","  333 ","  334 ","  992 ","","  29 ","  35 ","  124 ","","  163 ","  144 ","  475 ","","  581 ","  590 ","  650 ","","  1,646 ","  1,569 ","  4,498 "
"Feb-14","  195 ","  197 ","  380 ","","  165 ","  128 ","  1,307 ","","  210 ","  158 ","  657 ","","  379 ","  316 ","  1,055 ","","  48 ","  36 ","  136 ","","  172 ","  126 ","  521 ","","  583 ","  519 ","  714 ","","  1,752 ","  1,480 ","  4,770 "
"Mar-14","  202 ","  238 ","  344 ","","  121 ","  178 ","  1,250 ","","  224 ","  218 ","  663 ","","  338 ","  384 ","  1,009 ","","  43 ","  46 ","  133 ","","  170 ","  186 ","  505 ","","  609 ","  624 ","  699 ","","  1,707 ","  1,874 ","  4,603 "
"Apr-14","  229 ","  235 ","  338 ","","  197 ","  169 ","  1,278 ","","  217 ","  207 ","  673 ","","  401 ","  335 ","  1,075 ","","  44 ","  54 ","  123 ","","  194 ","  194 ","  505 ","","  657 ","  632 ","  724 ","","  1,939 ","  1,826 ","  4,716 "
"May-14","  208 ","  232 ","  314 ","","  186 ","  207 ","  1,257 ","","  226 ","  208 ","  691 ","","  365 ","  347 ","  1,093 ","","  33 ","  39 ","  117 ","","  206 ","  175 ","  536 ","","  653 ","  628 ","  749 ","","  1,877 ","  1,836 ","  4,757 "
"Jun-14","  225 ","  213 ","  326 ","","  189 ","  201 ","  1,245 ","","  236 ","  225 ","  702 ","","  365 ","  351 ","  1,107 ","","  35 ","  39 ","  113 ","","  193 ","  186 ","  543 ","","  668 ","  616 ","  801 ","","  1,911 ","  1,831 ","  4,837 "
"Jul-14","  223 ","  214 ","  335 ","","  166 ","  172 ","  1,239 ","","  250 ","  243 ","  709 ","","  368 ","  332 ","  1,143 ","","  35 ","  50 ","  98 ","","  203 ","  186 ","  560 ","","  613 ","  601 ","  813 ","","  1,858 ","  1,798 ","  4,897 "
"Aug-14","  228 ","  239 ","  324 ","","  183 ","  192 ","  1,230 ","","  226 ","  207 ","  728 ","","  361 ","  365 ","  1,139 ","","  35 ","  33 ","  100 ","","  206 ","  184 ","  582 ","","  658 ","  580 ","  891 ","","  1,897 ","  1,800 ","  4,994 "
"Sep-14","  240 ","  238 ","  326 ","","  192 ","  217 ","  1,205 ","","  256 ","  232 ","  752 ","","  389 ","  337 ","  1,191 ","","  35 ","  37 ","  98 ","","  212 ","  208 ","  586 ","","  677 ","  600 ","  968 ","","  2,001 ","  1,869 ","  5,126 "
"Oct-14","  254 ","  232 ","  348 ","","  181 ","  193 ","  1,193 ","","  186 ","  243 ","  695 ","","  381 ","  416 ","  1,156 ","","  55 ","  32 ","  121 ","","  193 ","  179 ","  600 ","","  689 ","  669 ","  988 ","","  1,939 ","  1,964 ","  5,101 "
"Nov-14","  224 ","  195 ","  377 ","","  139 ","  174 ","  1,158 ","","  209 ","  202 ","  702 ","","  293 ","  401 ","  1,048 ","","  37 ","  36 ","  122 ","","  161 ","  166 ","  595 ","","  568 ","  575 ","  981 ","","  1,631 ","  1,749 ","  4,983 "
"Dec-14","  250 ","  223 ","  404 ","","  179 ","  179 ","  1,158 ","","  224 ","  194 ","  732 ","","  330 ","  386 ","  992 ","","  49 ","  38 ","  133 ","","  208 ","  189 ","  614 ","","  632 ","  577 ","  1,036 ","","  1,872 ","  1,786 ","  5,069 "
"Jan-15","  222 ","  195 ","  431 ","","  195 ","  173 ","  1,180 ","","  197 ","  193 ","  736 ","","  398 ","  352 ","  1,038 ","","  35 ","  48 ","  120 ","","  190 ","  164 ","  640 ","","  573 ","  476 ","  1,133 ","","  1,810 ","  1,601 ","  5,278 "
"Feb-15","  209 ","  151 ","  489 ","","  181 ","  115 ","  1,246 ","","  230 ","  151 ","  815 ","","  472 ","  261 ","  1,249 ","","  45 ","  39 ","  126 ","","  199 ","  114 ","  725 ","","  500 ","  398 ","  1,235 ","","  1,836 ","  1,229 ","  5,885 "
"Mar-15","  168 ","  147 ","  510 ","","  177 ","  146 ","  1,277 ","","  182 ","  170 ","  827 ","","  348 ","  284 ","  1,313 ","","  45 ","  35 ","  136 ","","  155 ","  168 ","  712 ","","  393 ","  442 ","  1,186 ","","  1,468 ","  1,392 ","  5,961 "
"Apr-15","  133 ","  114 ","  529 ","","  160 ","  167 ","  1,270 ","","  142 ","  127 ","  842 ","","  254 ","  236 ","  1,331 ","","  26 ","  34 ","  128 ","","  138 ","  143 ","  707 ","","  338 ","  323 ","  1,201 ","","  1,191 ","  1,144 ","  6,008 "
"May-15","  117 ","  95 ","  551 ","","  145 ","  166 ","  1,249 ","","  124 ","  139 ","  827 ","","  234 ","  174 ","  1,391 ","","  28 ","  28 ","  128 ","","  134 ","  118 ","  723 ","","  273 ","  341 ","  1,133 ","","  1,055 ","  1,061 ","  6,002 "
"Jun-15","  111 ","  94 ","  568 ","","  127 ","  138 ","  1,238 ","","  110 ","  135 ","  802 ","","  211 ","  183 ","  1,419 ","","  23 ","  15 ","  136 ","","  135 ","  128 ","  730 ","","  307 ","  359 ","  1,081 ","","  1,024 ","  1,052 ","  5,974 "
"Jul-15","  124 ","  109 ","  583 ","","  144 ","  136 ","  1,246 ","","  102 ","  124 ","  780 ","","  212 ","  213 ","  1,418 ","","  29 ","  20 ","  145 ","","  127 ","  74 ","  783 ","","  298 ","  365 ","  1,014 ","","  1,036 ","  1,041 ","  5,969 "
