"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Anadarko,,,,Appalachia,,,, Bakken,,,,  Eagle Ford,,,,Haynesville,,,,Niobrara,,,,Permian,,,,DPR Regions,,
 ,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC
Dec-13,--,--,  375 ,,--,--,"  1,237 ",,--,--,  570 ,,--,--,  993 ,,--,--,  130 ,,--,--,  456 ,,--,--,  659 ,,--,--,"  4,420 "
Jan-14,  222 ,  215 ,  382 ,,  140 ,  108 ,"  1,269 ",,  178 ,  143 ,  605 ,,  333 ,  334 ,  992 ,,  29 ,  35 ,  124 ,,  163 ,  144 ,  475 ,,  581 ,  590 ,  650 ,,"  1,646 ","  1,569 ","  4,497 "
Feb-14,  195 ,  197 ,  380 ,,  165 ,  128 ,"  1,306 ",,  210 ,  158 ,  657 ,,  379 ,  316 ,"  1,055 ",,  48 ,  36 ,  136 ,,  172 ,  126 ,  521 ,,  583 ,  519 ,  714 ,,"  1,752 ","  1,480 ","  4,769 "
Mar-14,  202 ,  238 ,  344 ,,  121 ,  178 ,"  1,249 ",,  224 ,  218 ,  663 ,,  338 ,  384 ,"  1,009 ",,  43 ,  46 ,  133 ,,  170 ,  186 ,  505 ,,  609 ,  624 ,  699 ,,"  1,707 ","  1,874 ","  4,602 "
Apr-14,  229 ,  235 ,  338 ,,  197 ,  169 ,"  1,277 ",,  217 ,  207 ,  673 ,,  401 ,  335 ,"  1,075 ",,  44 ,  54 ,  123 ,,  194 ,  194 ,  505 ,,  657 ,  632 ,  724 ,,"  1,939 ","  1,826 ","  4,715 "
May-14,  208 ,  232 ,  314 ,,  186 ,  207 ,"  1,256 ",,  226 ,  208 ,  691 ,,  365 ,  347 ,"  1,093 ",,  33 ,  39 ,  117 ,,  206 ,  175 ,  536 ,,  653 ,  628 ,  749 ,,"  1,877 ","  1,836 ","  4,756 "
Jun-14,  225 ,  213 ,  326 ,,  189 ,  201 ,"  1,244 ",,  236 ,  225 ,  702 ,,  365 ,  351 ,"  1,107 ",,  35 ,  39 ,  113 ,,  193 ,  186 ,  543 ,,  668 ,  616 ,  801 ,,"  1,911 ","  1,831 ","  4,836 "
Jul-14,  223 ,  214 ,  335 ,,  167 ,  172 ,"  1,239 ",,  250 ,  243 ,  709 ,,  368 ,  332 ,"  1,143 ",,  35 ,  50 ,  98 ,,  203 ,  186 ,  560 ,,  613 ,  601 ,  813 ,,"  1,859 ","  1,798 ","  4,897 "
Aug-14,  228 ,  239 ,  324 ,,  183 ,  192 ,"  1,230 ",,  226 ,  207 ,  728 ,,  361 ,  365 ,"  1,139 ",,  35 ,  33 ,  100 ,,  206 ,  184 ,  582 ,,  657 ,  580 ,  890 ,,"  1,896 ","  1,800 ","  4,993 "
Sep-14,  240 ,  238 ,  326 ,,  192 ,  217 ,"  1,205 ",,  256 ,  232 ,  752 ,,  389 ,  337 ,"  1,191 ",,  35 ,  37 ,  98 ,,  212 ,  208 ,  586 ,,  676 ,  600 ,  966 ,,"  2,000 ","  1,869 ","  5,124 "
Oct-14,  255 ,  232 ,  349 ,,  181 ,  193 ,"  1,193 ",,  187 ,  243 ,  696 ,,  382 ,  416 ,"  1,157 ",,  55 ,  32 ,  121 ,,  194 ,  179 ,  601 ,,  692 ,  669 ,  989 ,,"  1,946 ","  1,964 ","  5,106 "
Nov-14,  225 ,  195 ,  379 ,,  139 ,  174 ,"  1,158 ",,  211 ,  202 ,  705 ,,  294 ,  401 ,"  1,050 ",,  37 ,  36 ,  122 ,,  161 ,  166 ,  596 ,,  570 ,  575 ,  984 ,,"  1,637 ","  1,749 ","  4,994 "
Dec-14,  252 ,  223 ,  408 ,,  179 ,  179 ,"  1,158 ",,  226 ,  194 ,  737 ,,  331 ,  386 ,  995 ,,  49 ,  38 ,  133 ,,  209 ,  189 ,  616 ,,  634 ,  577 ,"  1,041 ",,"  1,880 ","  1,786 ","  5,088 "
Jan-15,  223 ,  195 ,  436 ,,  195 ,  173 ,"  1,180 ",,  199 ,  193 ,  743 ,,  400 ,  352 ,"  1,043 ",,  35 ,  48 ,  120 ,,  190 ,  164 ,  642 ,,  575 ,  476 ,"  1,140 ",,"  1,817 ","  1,601 ","  5,304 "
Feb-15,  210 ,  151 ,  495 ,,  181 ,  115 ,"  1,246 ",,  232 ,  151 ,  824 ,,  474 ,  261 ,"  1,256 ",,  45 ,  39 ,  126 ,,  199 ,  114 ,  727 ,,  502 ,  398 ,"  1,244 ",,"  1,843 ","  1,229 ","  5,918 "
Mar-15,  169 ,  147 ,  517 ,,  177 ,  146 ,"  1,277 ",,  184 ,  170 ,  838 ,,  349 ,  284 ,"  1,321 ",,  45 ,  35 ,  136 ,,  155 ,  168 ,  714 ,,  394 ,  442 ,"  1,196 ",,"  1,473 ","  1,392 ","  5,999 "
Apr-15,  134 ,  114 ,  537 ,,  160 ,  167 ,"  1,270 ",,  144 ,  127 ,  855 ,,  255 ,  236 ,"  1,340 ",,  26 ,  34 ,  128 ,,  138 ,  143 ,  709 ,,  339 ,  323 ,"  1,212 ",,"  1,196 ","  1,144 ","  6,051 "
May-15,  118 ,  95 ,  560 ,,  145 ,  166 ,"  1,249 ",,  126 ,  139 ,  842 ,,  234 ,  174 ,"  1,400 ",,  28 ,  28 ,  128 ,,  134 ,  118 ,  725 ,,  274 ,  341 ,"  1,145 ",,"  1,059 ","  1,061 ","  6,049 "
Jun-15,  112 ,  94 ,  578 ,,  127 ,  138 ,"  1,238 ",,  111 ,  135 ,  818 ,,  211 ,  183 ,"  1,428 ",,  23 ,  15 ,  136 ,,  136 ,  128 ,  733 ,,  307 ,  359 ,"  1,093 ",,"  1,027 ","  1,052 ","  6,024 "
Jul-15,  125 ,  109 ,  594 ,,  144 ,  136 ,"  1,246 ",,  103 ,  124 ,  797 ,,  213 ,  213 ,"  1,428 ",,  29 ,  20 ,  145 ,,  127 ,  74 ,  786 ,,  299 ,  365 ,"  1,027 ",,"  1,040 ","  1,041 ","  6,023 "
Aug-15,  119 ,  124 ,  589 ,,  115 ,  135 ,"  1,226 ",,  112 ,  101 ,  808 ,,  200 ,  246 ,"  1,382 ",,  32 ,  23 ,  154 ,,  145 ,  116 ,  815 ,,  336 ,  322 ,"  1,041 ",,"  1,059 ","  1,067 ","  6,015 "
Sep-15,  125 ,  116 ,  598 ,,  109 ,  141 ,"  1,194 ",,  100 ,  92 ,  816 ,,  194 ,  228 ,"  1,348 ",,  29 ,  22 ,  161 ,,  126 ,  99 ,  842 ,,  323 ,  288 ,"  1,076 ",,"  1,006 ",  986 ,"  6,035 "
Oct-15,  114 ,  131 ,  581 ,,  106 ,  120 ,"  1,180 ",,  119 ,  84 ,  851 ,,  189 ,  162 ,"  1,375 ",,  29 ,  31 ,  159 ,,  129 ,  140 ,  831 ,,  309 ,  264 ,"  1,121 ",,  995 ,  932 ,"  6,098 "
Nov-15,  98 ,  108 ,  571 ,,  109 ,  99 ,"  1,190 ",,  101 ,  89 ,  863 ,,  162 ,  153 ,"  1,384 ",,  26 ,  24 ,  161 ,,  121 ,  98 ,  854 ,,  276 ,  230 ,"  1,167 ",,  893 ,  801 ,"  6,190 "
Dec-15,  97 ,  69 ,  599 ,,  94 ,  105 ,"  1,179 ",,  99 ,  78 ,  884 ,,  150 ,  156 ,"  1,378 ",,  27 ,  27 ,  161 ,,  101 ,  83 ,  872 ,,  260 ,  235 ,"  1,192 ",,  828 ,  753 ,"  6,265 "
Jan-16,  82 ,  63 ,  618 ,,  90 ,  79 ,"  1,190 ",,  71 ,  80 ,  875 ,,  154 ,  143 ,"  1,389 ",,  29 ,  17 ,  173 ,,  88 ,  82 ,  878 ,,  240 ,  237 ,"  1,195 ",,  754 ,  701 ,"  6,318 "
Feb-16,  98 ,  91 ,  625 ,,  75 ,  84 ,"  1,181 ",,  62 ,  41 ,  896 ,,  113 ,  128 ,"  1,374 ",,  12 ,  18 ,  167 ,,  79 ,  82 ,  875 ,,  192 ,  220 ,"  1,167 ",,  631 ,  664 ,"  6,285 "
Mar-16,  81 ,  80 ,  626 ,,  72 ,  76 ,"  1,177 ",,  68 ,  45 ,  919 ,,  88 ,  113 ,"  1,349 ",,  8 ,  14 ,  161 ,,  61 ,  58 ,  878 ,,  215 ,  213 ,"  1,169 ",,  593 ,  599 ,"  6,279 "
