"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Anadarko,,,,Appalachia,,,, Bakken,,,,  Eagle Ford,,,,Haynesville,,,,Niobrara,,,,Permian,,,,DPR Regions,,
 ,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC
Dec-13,--,--,  375 ,,--,--,"  1,237 ",,--,--,  570 ,,--,--,  992 ,,--,--,  130 ,,--,--,  458 ,,--,--,  659 ,,--,--,"  4,421 "
Jan-14,  222 ,  215 ,  382 ,,  140 ,  108 ,"  1,269 ",,  178 ,  143 ,  605 ,,  333 ,  334 ,  991 ,,  29 ,  35 ,  124 ,,  163 ,  144 ,  477 ,,  581 ,  590 ,  650 ,,"  1,646 ","  1,569 ","  4,498 "
Feb-14,  195 ,  197 ,  380 ,,  165 ,  128 ,"  1,306 ",,  210 ,  158 ,  657 ,,  379 ,  316 ,"  1,054 ",,  48 ,  36 ,  136 ,,  172 ,  126 ,  523 ,,  583 ,  519 ,  714 ,,"  1,752 ","  1,480 ","  4,770 "
Mar-14,  202 ,  238 ,  344 ,,  121 ,  178 ,"  1,249 ",,  224 ,  218 ,  663 ,,  338 ,  384 ,"  1,008 ",,  43 ,  46 ,  133 ,,  169 ,  186 ,  506 ,,  609 ,  624 ,  699 ,,"  1,706 ","  1,874 ","  4,602 "
Apr-14,  229 ,  235 ,  338 ,,  197 ,  169 ,"  1,277 ",,  217 ,  207 ,  673 ,,  401 ,  335 ,"  1,074 ",,  44 ,  54 ,  123 ,,  194 ,  194 ,  506 ,,  657 ,  632 ,  724 ,,"  1,939 ","  1,826 ","  4,715 "
May-14,  208 ,  232 ,  314 ,,  186 ,  207 ,"  1,256 ",,  226 ,  208 ,  691 ,,  365 ,  347 ,"  1,092 ",,  33 ,  39 ,  117 ,,  206 ,  175 ,  537 ,,  653 ,  628 ,  749 ,,"  1,877 ","  1,836 ","  4,756 "
Jun-14,  225 ,  213 ,  326 ,,  189 ,  201 ,"  1,244 ",,  236 ,  225 ,  702 ,,  365 ,  351 ,"  1,106 ",,  35 ,  39 ,  113 ,,  193 ,  186 ,  544 ,,  668 ,  616 ,  801 ,,"  1,911 ","  1,831 ","  4,836 "
Jul-14,  223 ,  214 ,  335 ,,  167 ,  172 ,"  1,239 ",,  250 ,  243 ,  709 ,,  368 ,  332 ,"  1,142 ",,  35 ,  50 ,  98 ,,  203 ,  186 ,  561 ,,  613 ,  601 ,  813 ,,"  1,859 ","  1,798 ","  4,897 "
Aug-14,  228 ,  239 ,  324 ,,  183 ,  192 ,"  1,230 ",,  226 ,  207 ,  728 ,,  360 ,  365 ,"  1,137 ",,  35 ,  33 ,  100 ,,  206 ,  184 ,  583 ,,  657 ,  580 ,  890 ,,"  1,895 ","  1,800 ","  4,992 "
