West Texas Intermediate Crude Oil Price Monthly,
https://www.eia.gov/opendata/qb.php?sdid=STEO.WTIPUUS.M,
17:01:08 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Month,Series ID: STEO.WTIPUUS.M dollars per barrel
Dec-21,49
Nov-21,48.5
Oct-21,48
Sep-21,47.5
Aug-21,47
Jul-21,46.5
Jun-21,46
May-21,45
Apr-21,44
Mar-21,43
Feb-21,42
Jan-21,41
Dec-20,40
Nov-20,39.5
Oct-20,39
Sep-20,37.5
Aug-20,38
Jul-20,38
Jun-20,38.31
May-20,28.56
Apr-20,16.55
Mar-20,29.21
Feb-20,50.54
Jan-20,57.52
Dec-19,59.877
Nov-19,57.027
Oct-19,53.963
Sep-19,56.947
Aug-19,54.805
Jul-19,57.354
Jun-19,54.657
May-19,60.827
Apr-19,63.862
Mar-19,58.151
Feb-19,54.954
Jan-19,51.376
Dec-18,49.523
Nov-18,56.963
Oct-18,70.749
Sep-18,70.231
Aug-18,68.055
Jul-18,70.981
Jun-18,67.873
May-18,69.978
Apr-18,66.254
Mar-18,62.725
Feb-18,62.229
Jan-18,63.698
Dec-17,57.881
Nov-17,56.639
Oct-17,51.578
Sep-17,49.822
Aug-17,48.037
Jul-17,46.63
Jun-17,45.178
May-17,48.476
Apr-17,51.06
Mar-17,49.328
Feb-17,53.468
Jan-17,52.504
Dec-16,51.972
Nov-16,45.661
Oct-16,49.775
Sep-16,45.182
Aug-16,44.724
Jul-16,44.651
Jun-16,48.757
May-16,46.712
Apr-16,40.754
Mar-16,37.545
Feb-16,30.323
Jan-16,31.683
Dec-15,37.189
Nov-15,42.443
Oct-15,46.223
Sep-15,45.479
Aug-15,42.867
Jul-15,50.901
Jun-15,59.819
May-15,59.265
Apr-15,54.453
Mar-15,47.823
Feb-15,50.584
Jan-15,47.217
Dec-14,59.29
Nov-14,75.789
Oct-14,84.397
Sep-14,93.212
Aug-14,96.535
Jul-14,103.588
Jun-14,105.794
May-14,102.177
Apr-14,102.069
Mar-14,100.804
Feb-14,100.817
Jan-14,94.617
Dec-13,97.625
Nov-13,93.864
Oct-13,100.538
Sep-13,106.29
Aug-13,106.573
Jul-13,104.671
Jun-13,95.773
May-13,94.51
Apr-13,92.021
Mar-13,92.939
Feb-13,95.309
Jan-13,94.757
Dec-12,87.86
Nov-12,86.531
Oct-12,89.491
Sep-12,94.514
Aug-12,94.131
Jul-12,87.895
Jun-12,82.303
May-12,94.655
Apr-12,103.321
Mar-12,106.158
Feb-12,102.204
Jan-12,100.274
Dec-11,98.563
Nov-11,97.16
Oct-11,86.322
Sep-11,85.515
Aug-11,86.333
Jul-11,97.304
Jun-11,96.264
May-11,100.9
Apr-11,109.533
Mar-11,102.857
Feb-11,88.578
Jan-11,89.171
Dec-10,89.146
Nov-10,84.253
Oct-10,81.893
Sep-10,75.242
Aug-10,76.599
Jul-10,76.32
Jun-10,75.336
May-10,73.744
Apr-10,84.293
Mar-10,81.203
Feb-10,76.387
Jan-10,78.326
Dec-09,74.47
Nov-09,77.99
Oct-09,75.715
Sep-09,69.408
Aug-09,71.045
Jul-09,64.152
Jun-09,69.641
May-09,59.029
Apr-09,49.647
Mar-09,47.939
Feb-09,39.087
Jan-09,41.71
Dec-08,41.122
Nov-08,57.309
Oct-08,76.609
Sep-08,104.114
Aug-08,116.666
Jul-08,133.371
Jun-08,133.88
May-08,125.398
Apr-08,112.58
Mar-08,105.454
Feb-08,95.386
Jan-08,92.97
Dec-07,91.687
Nov-07,94.772
Oct-07,85.799
Sep-07,79.915
Aug-07,72.356
Jul-07,74.118
Jun-07,67.489
May-07,63.455
Apr-07,63.977
Mar-07,60.442
Feb-07,59.279
Jan-07,54.506
Dec-06,61.959
Nov-06,59.083
Oct-06,58.893
Sep-06,63.798
Aug-06,73.043
Jul-06,74.411
Jun-06,70.951
May-06,70.844
Apr-06,69.444
Mar-06,62.685
Feb-06,61.631
Jan-06,65.485
Dec-05,59.412
Nov-05,58.323
Oct-05,62.26
Sep-05,65.587
Aug-05,64.985
Jul-05,58.996
Jun-05,56.352
May-05,49.834
Apr-05,52.979
Mar-05,54.187
Feb-05,48.149
Jan-05,46.837
Dec-04,43.15
Nov-04,48.469
Oct-04,53.28
Sep-04,45.936
Aug-04,44.903
Jul-04,40.778
Jun-04,38.025
May-04,40.275
Apr-04,36.75
Mar-04,36.741
Feb-04,34.685
Jan-04,34.31
Dec-03,32.129
Nov-03,31.108
Oct-03,30.338
Sep-03,28.311
Aug-03,31.574
Jul-03,30.755
Jun-03,30.662
May-03,28.109
Apr-03,28.17
Mar-03,33.513
Feb-03,35.828
Jan-03,32.947
Dec-02,29.461
Nov-02,26.352
Oct-02,28.837
Sep-02,29.664
Aug-02,28.385
Jul-02,26.966
Jun-02,25.519
May-02,27.041
Apr-02,26.179
Mar-02,24.531
Feb-02,20.724
Jan-02,19.715
Dec-01,19.389
Nov-01,19.635
Oct-01,22.17
Sep-01,26.199
Aug-01,27.374
Jul-01,26.425
Jun-01,27.599
May-01,28.629
Apr-01,27.49
Mar-01,27.245
Feb-01,29.609
Jan-01,29.586
Dec-00,28.437
Nov-00,34.417
Oct-00,33.109
Sep-00,33.884
Aug-00,31.264
Jul-00,29.697
Jun-00,31.822
May-00,28.788
Apr-00,25.722
Mar-00,29.842
Feb-00,29.366
Jan-00,27.259
Dec-99,26.102
Nov-99,25.002
Oct-99,22.691
Sep-99,23.797
Aug-99,21.279
Jul-99,20.103
Jun-99,17.923
May-99,17.719
Apr-99,17.312
Mar-99,14.677
Feb-99,12.014
Jan-99,12.515
Dec-98,11.347
Nov-98,13.002
Oct-98,14.461
Sep-98,15.031
Aug-98,13.472
Jul-98,14.173
Jun-98,13.722
May-98,14.914
Apr-98,15.354
Mar-98,15.115
Feb-98,16.06
Jan-98,16.724
Dec-97,18.333
Nov-97,20.194
Oct-97,21.325
Sep-97,19.803
Aug-97,19.953
Jul-97,19.664
Jun-97,19.26
May-97,20.819
Apr-97,19.695
Mar-97,20.965
Feb-97,22.176
Jan-97,25.132
Dec-96,25.229
Nov-96,23.705
Oct-96,24.879
Sep-96,23.972
Aug-96,21.903
Jul-96,21.302
Jun-96,20.424
May-96,21.165
Apr-96,23.497
Mar-96,21.332
Feb-96,19.094
Jan-96,18.855
Dec-95,19.027
Nov-95,17.993
Oct-95,17.433
Sep-95,18.226
Aug-95,18.021
Jul-95,17.326
Jun-95,18.446
May-95,19.742
Apr-95,19.896
Mar-95,18.539
Feb-95,18.57
Jan-95,18.04
Dec-94,17.16
Nov-94,18.07
Oct-94,17.716
Sep-94,17.446
Aug-94,18.383
Jul-94,19.655
Jun-94,19.06
May-94,17.889
Apr-94,16.42
Mar-94,14.681
Feb-94,14.781
Jan-94,15.027
Dec-93,14.515
Nov-93,16.609
Oct-93,18.153
Sep-93,17.504
Aug-93,18.01
Jul-93,17.89
Jun-93,19.094
May-93,19.95
Apr-93,20.253
Mar-93,20.322
Feb-93,20.086
Jan-93,19.032
Dec-92,19.414
Nov-92,20.339
Oct-92,21.686
Sep-92,21.881
Aug-92,21.339
Jul-92,21.775
Jun-92,22.385
May-92,20.976
Apr-92,20.23
Mar-92,18.922
Feb-92,19.013
Jan-92,18.785
Dec-91,19.498
Nov-91,22.461
Oct-91,23.231
Sep-91,21.887
Aug-91,21.694
Jul-91,21.403
Jun-91,20.189
May-91,21.232
Apr-91,20.83
Mar-91,19.902
Feb-91,20.478
Jan-91,25.234
Dec-90,27.281
Nov-90,32.332
Oct-90,36.04
Sep-90,33.508
Aug-90,27.307
Jul-90,18.454
Jun-90,16.695
May-90,18.2
Apr-90,18.426
Mar-90,20.388
Feb-90,22.113
Jan-90,22.863
