West Texas Intermediate Crude Oil Spot Price,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=8&f=M&s=&start=201601&end=202112&id=&maptype=0&ctype=linechart&linechart=WTIPUUS,
16:52:55 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Month,West Texas Intermediate Crude Oil Spot Price dollars per barrel
Dec-21,49
Nov-21,48.5
Oct-21,48
Sep-21,47.5
Aug-21,47
Jul-21,46.5
Jun-21,46
May-21,45
Apr-21,44
Mar-21,43
Feb-21,42
Jan-21,41
Dec-20,40
Nov-20,39.5
Oct-20,39
Sep-20,37.5
Aug-20,38
Jul-20,38
Jun-20,38.31
May-20,28.56
Apr-20,16.55
Mar-20,29.21
Feb-20,50.54
Jan-20,57.52
Dec-19,59.88
Nov-19,57.03
Oct-19,53.96
Sep-19,56.95
Aug-19,54.8
Jul-19,57.35
Jun-19,54.66
May-19,60.83
Apr-19,63.86
Mar-19,58.15
Feb-19,54.95
Jan-19,51.38
Dec-18,49.52
Nov-18,56.96
Oct-18,70.75
Sep-18,70.23
Aug-18,68.06
Jul-18,70.98
Jun-18,67.87
May-18,69.98
Apr-18,66.25
Mar-18,62.73
Feb-18,62.23
Jan-18,63.7
Dec-17,57.88
Nov-17,56.64
Oct-17,51.58
Sep-17,49.82
Aug-17,48.04
Jul-17,46.63
Jun-17,45.18
May-17,48.48
Apr-17,51.06
Mar-17,49.33
Feb-17,53.47
Jan-17,52.5
Dec-16,51.97
Nov-16,45.66
Oct-16,49.77
Sep-16,45.18
Aug-16,44.72
Jul-16,44.65
Jun-16,48.76
May-16,46.71
Apr-16,40.75
Mar-16,37.55
Feb-16,30.32
Jan-16,31.68
Dec-15,37.19
