West Texas Intermediate Crude Oil Spot Price (Indexed to Jan 1997 as percent),
https://www.eia.gov/outlooks/steo/data/browser/#/?v=8&f=M&s=&start=199701&end=202112&id=&maptype=0&ctype=linechart&linechart=WTIPUUS&chartindexed=1,
16:55:50 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Month,West Texas Intermediate Crude Oil Spot Price Percent
Dec-21,94.97
Nov-21,92.98
Oct-21,90.99
Sep-21,89
Aug-21,87.01
Jul-21,85.02
Jun-21,83.03
May-21,79.05
Apr-21,75.08
Mar-21,71.1
Feb-21,67.12
Jan-21,63.14
Dec-20,59.16
Nov-20,57.17
Oct-20,55.18
Sep-20,49.21
Aug-20,51.2
Jul-20,51.2
Jun-20,52.44
May-20,13.64
Apr-20,-34.15
Mar-20,16.23
Feb-20,101.1
Jan-20,128.87
Dec-19,138.25
Nov-19,126.91
Oct-19,114.72
Sep-19,126.59
Aug-19,118.07
Jul-19,128.21
Jun-19,117.48
May-19,142.03
Apr-19,154.11
Mar-19,131.38
Feb-19,118.66
Jan-19,104.42
Dec-18,97.05
Nov-18,126.66
Oct-18,181.51
Sep-18,179.45
Aug-18,170.79
Jul-18,182.43
Jun-18,170.07
May-18,178.44
Apr-18,163.62
Mar-18,149.58
Feb-18,147.61
Jan-18,153.45
Dec-17,130.31
Nov-17,125.37
Oct-17,105.23
Sep-17,98.24
Aug-17,91.14
Jul-17,85.54
Jun-17,79.76
May-17,92.89
Apr-17,103.17
Mar-17,96.28
Feb-17,112.75
Jan-17,108.91
Dec-16,106.8
Nov-16,81.68
Oct-16,98.05
Sep-16,79.78
Aug-16,77.96
Jul-16,77.67
Jun-16,94
May-16,85.87
Apr-16,62.16
Mar-16,49.39
Feb-16,20.65
Jan-16,26.07
Dec-15,47.97
Nov-15,68.88
Oct-15,83.92
Sep-15,80.96
Aug-15,70.57
Jul-15,102.53
Jun-15,138.02
May-15,135.81
Apr-15,116.67
Mar-15,90.29
Feb-15,101.27
Jan-15,87.88
Dec-14,135.91
Nov-14,201.56
Oct-14,235.81
Sep-14,270.89
Aug-14,284.11
Jul-14,312.18
Jun-14,320.95
May-14,306.56
Apr-14,306.13
