Weekly U.S. Ending Stocks excluding SPR of Crude Oil,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=WCESTUS1&f=W,
18:56:31 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Week of,Weekly U.S. Ending Stocks excluding SPR of Crude Oil Thousand Barrels
7/24/2020,525969
7/17/2020,536580
7/10/2020,531688
7/3/2020,539181
6/26/2020,533527
6/19/2020,540722
6/12/2020,539280
6/5/2020,538065
5/29/2020,532345
5/22/2020,534422
5/15/2020,526494
5/8/2020,531476
5/1/2020,532221
4/24/2020,527631
4/17/2020,518640
4/10/2020,503618
4/3/2020,484370
3/27/2020,469193
3/20/2020,455360
3/13/2020,453737
3/6/2020,451783
2/28/2020,444119
2/21/2020,443335
2/14/2020,442883
2/7/2020,442468
1/31/2020,435009
1/24/2020,431654
1/17/2020,428106
1/10/2020,428511
1/3/2020,431060
12/27/2019,429896
12/20/2019,441359
12/13/2019,446833
12/6/2019,447918
11/29/2019,447096
11/22/2019,451952
11/15/2019,450380
11/8/2019,449001
11/1/2019,446782
10/25/2019,438853
10/18/2019,433151
10/11/2019,434850
10/4/2019,425569
9/27/2019,422642
9/20/2019,419538
9/13/2019,417126
9/6/2019,416068
8/30/2019,422980
8/23/2019,427751
8/16/2019,437778
8/9/2019,440510
8/2/2019,438930
7/26/2019,436545
7/19/2019,445041
7/12/2019,455876
7/5/2019,458992
6/28/2019,468491
6/21/2019,469576
6/14/2019,482364
6/7/2019,485470
5/31/2019,483264
5/24/2019,476493
5/17/2019,476775
5/10/2019,472035
5/3/2019,466604
4/26/2019,470567
4/19/2019,460633
4/12/2019,455154
4/5/2019,456550
3/29/2019,449521
3/22/2019,442283
3/15/2019,439483
3/8/2019,449072
3/1/2019,452934
2/22/2019,445865
2/15/2019,454512
2/8/2019,450840
2/1/2019,447207
1/25/2019,445944
1/18/2019,445025
1/11/2019,437055
1/4/2019,439738
12/28/2018,441418
12/21/2018,441411
12/14/2018,441457
