"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Anadarko,,,,Appalachia,,,, Bakken,,,,  Eagle Ford,,,,Haynesville,,,,Niobrara,,,,Permian,,,,DPR Regions,,
 ,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC
Dec-13,--,--, 298 ,,--,--," 1,237 ",,--,--, 570 ,,--,--, 992 ,,--,--, 130 ,,--,--, 458 ,,--,--, 659 ,,--,--," 4,344 "
Jan-14, 230 , 215 , 313 ,, 140 , 108 ," 1,269 ",, 178 , 143 , 605 ,, 333 , 334 , 991 ,, 29 , 35 , 124 ,, 163 , 144 , 477 ,, 581 , 590 , 650 ,," 1,654 "," 1,569 "," 4,429 "
Feb-14, 205 , 197 , 321 ,, 165 , 128 ," 1,306 ",, 210 , 158 , 657 ,, 379 , 316 ," 1,054 ",, 48 , 36 , 136 ,, 172 , 126 , 523 ,, 583 , 519 , 714 ,," 1,762 "," 1,480 "," 4,711 "
Mar-14, 216 , 238 , 299 ,, 121 , 178 ," 1,249 ",, 224 , 218 , 663 ,, 338 , 384 ," 1,008 ",, 43 , 46 , 133 ,, 169 , 186 , 506 ,, 609 , 624 , 699 ,," 1,720 "," 1,874 "," 4,557 "
Apr-14, 238 , 235 , 302 ,, 197 , 169 ," 1,277 ",, 217 , 207 , 673 ,, 401 , 335 ," 1,074 ",, 44 , 54 , 123 ,, 194 , 194 , 506 ,, 657 , 632 , 724 ,," 1,948 "," 1,826 "," 4,679 "
May-14, 210 , 232 , 280 ,, 184 , 207 ," 1,254 ",, 226 , 208 , 691 ,, 365 , 347 ," 1,092 ",, 33 , 39 , 117 ,, 206 , 175 , 537 ,, 653 , 628 , 749 ,," 1,877 "," 1,836 "," 4,720 "
Jun-14, 232 , 213 , 299 ,, 189 , 201 ," 1,242 ",, 236 , 225 , 702 ,, 365 , 351 ," 1,106 ",, 35 , 39 , 113 ,, 193 , 186 , 544 ,, 668 , 616 , 801 ,," 1,918 "," 1,831 "," 4,807 "
Jul-14, 223 , 214 , 308 ,, 167 , 172 ," 1,237 ",, 250 , 243 , 709 ,, 368 , 332 ," 1,142 ",, 35 , 50 , 98 ,, 203 , 186 , 561 ,, 613 , 601 , 813 ,," 1,859 "," 1,798 "," 4,868 "
Aug-14, 230 , 239 , 299 ,, 183 , 192 ," 1,228 ",, 226 , 207 , 728 ,, 360 , 365 ," 1,137 ",, 35 , 33 , 100 ,, 206 , 184 , 583 ,, 657 , 580 , 890 ,," 1,897 "," 1,800 "," 4,965 "
Sep-14, 246 , 238 , 307 ,, 192 , 217 ," 1,203 ",, 256 , 232 , 752 ,, 389 , 337 ," 1,189 ",, 35 , 37 , 98 ,, 213 , 208 , 588 ,, 677 , 600 , 967 ,," 2,008 "," 1,869 "," 5,104 "
Oct-14, 255 , 232 , 330 ,, 181 , 193 ," 1,191 ",, 187 , 243 , 696 ,, 382 , 416 ," 1,155 ",, 55 , 32 , 121 ,, 194 , 179 , 603 ,, 692 , 669 , 990 ,," 1,946 "," 1,964 "," 5,086 "
Nov-14, 225 , 195 , 360 ,, 139 , 174 ," 1,156 ",, 211 , 202 , 705 ,, 294 , 401 ," 1,048 ",, 37 , 36 , 122 ,, 161 , 166 , 598 ,, 570 , 575 , 985 ,," 1,637 "," 1,749 "," 4,974 "
Dec-14, 252 , 223 , 389 ,, 179 , 179 ," 1,156 ",, 226 , 194 , 737 ,, 331 , 386 , 993 ,, 49 , 38 , 133 ,, 209 , 189 , 618 ,, 634 , 577 ," 1,042 ",," 1,880 "," 1,786 "," 5,068 "
Jan-15, 223 , 195 , 417 ,, 195 , 173 ," 1,178 ",, 199 , 193 , 743 ,, 400 , 352 ," 1,041 ",, 35 , 48 , 120 ,, 190 , 164 , 644 ,, 575 , 476 ," 1,141 ",," 1,817 "," 1,601 "," 5,284 "
Feb-15, 210 , 151 , 476 ,, 181 , 115 ," 1,244 ",, 232 , 151 , 824 ,, 474 , 261 ," 1,254 ",, 45 , 39 , 126 ,, 199 , 114 , 729 ,, 502 , 398 ," 1,245 ",," 1,843 "," 1,229 "," 5,898 "
Mar-15, 169 , 147 , 498 ,, 176 , 146 ," 1,274 ",, 184 , 170 , 838 ,, 349 , 284 ," 1,319 ",, 45 , 35 , 136 ,, 155 , 168 , 716 ,, 394 , 442 ," 1,197 ",," 1,472 "," 1,392 "," 5,978 "
